# TYPE ceph gauge
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.15",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.14",type="used"} 153310190000 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.1a",type="used"} 503394304 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.14",type="used"} 482 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.15",type="used"} 151929827513 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.19",type="used"} 566472816 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.17",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.16",type="used"} 154102469354 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.18",type="used"} 384249968 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.16",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.17",type="used"} 153635838854 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.7",type="used"} 444882944 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.8",type="used"} 153932775755 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.9",type="used"} 1803647 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.6",type="used"} 563109888 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.9",type="used"} 154543021830 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.8",type="used"} 4194304 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.5",type="used"} 432885760 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.a",type="used"} 153162729947 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.b",type="used"} 1199 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.4",type="used"} 556814336 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.b",type="used"} 154244141478 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.a",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.3",type="used"} 437874800 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.c",type="used"} 154790055724 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.d",type="used"} 0 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.2",type="used"} 483708928 1450641689458
